ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_marka)","Attribute Value (pa_marka)","Attribute In Variations (pa_marka)","Attribute Is Visible (pa_marka)","Attribute Is Taxonomy (pa_marka)","Shipping Class",_wpm_gtin_code,_ywbc_barcode_value,"Product Type","Ürün görünürlüğü","Ürün kategorileri","Ürün etiketleri","Image URL"
3011,"CASTELLO ARTFULLY AUTHENTIC CHEDDAR",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/castello-artfully-authentic-cheddar/,0,d0f0f322ba98,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5000246727094,5000246727094,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/CASTELLO-ARTFULLY-AUTHENTIC-CHEDDAR.jpg
3012,"CASTELLO BURGER CHEDDAR",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/castello-burger-cheddar/,0,307771138a5b,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953020827,5711953020827,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/CASTELLO-BURGER-CHEDDAR.jpg
3013,"TOLKUTTOMAT JUUSTOTKADETT",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/tolkuttomat-juustotkadett/,0,d839c7cfd278,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7311870031463,7311870031463,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/TOLKUTTOMAT-JUUSTOTKADETT.jpg
3014,"TOLKUTTOMAT JUUSTOTKADETT MAUKAS 17%",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/tolkuttomat-juustotkadett-maukas-17/,0,e270ab3dca80,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7311870033054,7311870033054,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/TOLKUTTOMAT-JUUSTOTKADETT-MAUKAS-17.jpg
3015,"Kadett Hienostunut 17 % viipale",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/kadett-hienostunut-17-viipale/,0,9726579fb7c6,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,,,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Kadett-Hienostunut-17-viipale.jpg
3016,"Apetina basilika-oregano -kuutiot",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-basilika-oregano-kuutiot/,0,55db47052e09,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6408430000296,6408430000296,simple,visible,Peynir,,
3017,"Apetina kuutiot laktoositon",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-kuutiot-laktoositon/,0,c144084ae067,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466867429,5760466867429,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-kuutiot-laktoositon.jpg
3018,"Apetina valkosipuli-persilja -kuutiot",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-valkosipuli-persilja-kuutiot/,0,02debd615202,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466747424,5760466747424,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-valkosipuli-persilja-kuutiot.jpg
3019,"Apetina 8 % pala",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-8-pala/,0,fa9d30549787,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466754743,5760466754743,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-8-pala.jpg
3020,"Apetina Classic pala",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-classic-pala/,0,2f291e385bff,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466851848,5760466851848,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Classic-pala.jpg
3021,"Apetina Classic-kuutiot",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-classic-kuutiot/,0,e56a60797948,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466630245,5760466630245,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Classic-kuutiot.jpg
